index,date,rank_harvard,rank_nu,rank_bu,rank_bc,final_score_winner,final_score_loser,thirdplace_winner,thirdplace_loser
1,12/26/52,1,4,2,3,7,4,2,0
2,1/11/54,2,4,3,1,4,1,5,3
3,2/7/55,1,4,3,2,5,4,4,3
4,2/6/56,2,4,3,1,4,2,9,3
5,2/1/57,3,4,2,1,5,4,5,3
6,2/3/58,3,2,1,4,9,3,7,1
7,2/2/59,3,4,2,1,7,4,4,0
8,2/8/60,1,3,2,4,3,2,6,5
9,2/6/61,2,3,4,1,4,2,6,2
10,2/5/62,1,4,2,3,5,0,4,0
11,2/4/63,2,3,4,1,3,1,4,2
12,2/3/64,3,4,2,1,6,5,7,5
13,2/8/65,4,3,2,1,5,4,3,1
14,2/7/66,2,4,1,3,9,2,5,3
15,2/9/67,4,2,1,3,4,0,6,5
16,2/5/68,2,4,1,3,4,1,6,4
17,2/3/69,1,4,2,3,5,3,6,3
18,2/2/70,3,4,1,2,5,4,5,4
19,2/8/71,2,4,1,3,4,1,8,2
20,2/7/72,2,4,1,3,4,1,5,4
21,2/5/73,3,4,1,2,4,1,8,5
22,2/4/74,1,3,2,4,5,4,4,3
23,2/3/75,2,3,1,4,7,2,5,3
24,2/2/76,3,4,2,1,6,3,4,2
25,2/7/76,1,4,2,3,4,3,6,4
26,2/6/78,2,4,1,3,7,1,3,2
27,2/5/79,4,3,1,2,4,3,5,4
28,2/4/80,3,1,4,2,5,4,7,4
29,2/2/81,1,4,3,2,2,0,9,2
30,2/1/82,1,3,4,2,3,1,6,5
31,2/8/83,1,2,3,4,8,2,5,4
32,2/6/84,4,1,2,3,5,2,5,2
33,2/4/85,3,1,2,4,4,2,6,5
34,2/3/86,3,4,1,2,4,1,7,1
35,2/2/87,4,2,1,3,4,3,7,6
36,2/1/88,4,,2,3,6,3,4,2
37,2/6/89,1,4,2,3,9,6,4,1
38,2/5/90,2,4,1,3,8,2,8,4
39,2/4/91,4,3,1,2,8,4,5,0
40,2/3/92,2,4,1,3,5,2,5,3
41,2/1/93,1,3,2,4,4,2,4,3
42,2/7/94,2,4,3,1,2,1,8,0
43,2/6/95,4,3,1,2,5,1,4,2
44,2/5/96,4,2,1,3,11,4,6,2
45,2/3/97,4,3,1,2,4,2,2,0
46,2/2/98,2,4,1,3,2,1,4,1
47,2/1/99,4,2,1,3,4,2,6,4
48,2/7/00,3,4,1,2,4,1,3,1
49,2/5/01,4,3,2,1,5,3,8,7
50,2/4/02,4,2,1,3,5,3,4,0
51,2/3/03,3,4,1,2,3,2,4,1
52,2/2/04,4,3,2,1,2,1,3,1
53,2/7/05,4,2,1,3,3,2,4,1
54,2/6/06,3,4,1,2,3,2,5,0
55,2/5/07,4,3,1,2,2,1,3,1
56,2/4/08,2,4,3,1,6,5,5,4
57,2/2/09,4,2,1,3,5,2,4,3
58,2/1/10,4,3,2,1,4,3,4,1
59,2/7/11,3,2,4,1,7,6,5,4
60,2/6/12,3,4,2,1,3,2,3,2
61,2/4/13,3,2,4,1,6,3,7,4
62,2/3/14,3,2,4,1,4,1,6,2
63,2/3/15,4,2,1,3,4,3,3,2
64,2/1/16,4,3,2,1,1,0,5,1
65,2/6/17,1,3,2,4,6,3,4,2
66,2/5/18,3,1,2,4,5,2,5,4
67,2/4/19,3,1,4,2,4,2,5,2